month,day,0
10,13,7.625511147544108e-05
10,14,8.578700040987123e-05
10,16,0.0035363307946735803
10,17,0.012982432728693845
10,18,0.010151461715168095
10,22,0.0041082441307393885
10,23,0.011457330499185023
10,25,0.00017157400081974246
10,27,0.002878630458197901
10,28,0.0027070564573781586
10,29,0.00015251022295088216
10,30,0.012982432728693845
10,31,0.006662790365166665
11,1,0.0037555642401654737
11,2,3.812755573772054e-05
11,3,6.672322254101095e-05
11,4,0.0038318193516409145
11,5,0.0001048507782787315
11,6,0.003031140681148783
11,7,0.015651361630334284
11,8,4.765944467215068e-05
11,10,6.672322254101095e-05
11,11,0.0002573610012296137
11,12,1.906377786886027e-05
11,13,0.011485926165988314
11,14,9.531888934430135e-06
11,15,0.013096815395907006
11,16,2.859566680329041e-05
11,18,9.531888934430135e-06
11,19,0.0028309710135257502
11,20,7.625511147544108e-05
11,21,0.00986550504713519
11,22,0.003307565460247257
11,24,9.531888934430137e-05
11,26,0.006033685695494276
11,27,0.012067371390988553
11,28,0.003040672570083213
11,29,1.906377786886027e-05
12,2,0.00011438266721316164
12,3,0.002859566680329041
12,5,0.013401835841808771
12,6,0.00011438266721316164
12,8,0.0001334464450820219
12,10,0.011657500166808056
12,11,0.0005528495581969479
12,12,0.01390702595533357
12,13,0.00011438266721316164
12,17,0.00282143912459132
12,18,0.006405429363937051
12,19,0.009665335379512158
12,20,5.719133360658082e-05
12,22,0.00020016966762303285
