NR. DOSAR,DATA ÎNREGISTRĂRII,TERMEN,SOLUȚIE
24746/RD/2016,23.03.2016,,07.04.2017
25369/RD/2016,24.03.2016,,14.11.2016
25807/RD/2016,25.03.2016,,14.11.2016
25818/RD/2016,25.03.2016,,30.09.2016
25824/RD/2016,25.03.2016,,30.09.2016
25836/RD/2016,25.03.2016,,30.09.2016
25842/RD/2016,25.03.2016,,30.09.2016
25867/RD/2016,25.03.2016,,30.09.2016
25879/RD/2016,25.03.2016,,30.09.2016
25915/RD/2016,25.03.2016,,30.09.2016
25941/RD/2016,25.03.2016,,18.11.2016
25945/RD/2016,25.03.2016,,30.09.2016
25960/RD/2016,25.03.2016,,30.09.2016
25966/RD/2016,25.03.2016,,30.09.2016
25975/RD/2016,25.03.2016,,30.09.2016
25987/RD/2016,25.03.2016,,30.09.2016
25999/RD/2016,25.03.2016,,30.09.2016
26307/RD/2016,28.03.2016,,30.09.2016
26308/RD/2016,28.03.2016,,30.09.2016
26445/RD/2016,28.03.2016,,30.09.2016
26715/RD/2016,29.03.2016,,30.09.2016
26746/RD/2016,29.03.2016,,09.09.2016
26754/RD/2016,29.03.2016,,09.09.2016
26758/RD/2016,29.03.2016,,09.09.2016
26762/RD/2016,29.03.2016,,25.11.2016
26772/RD/2016,29.03.2016,,09.09.2016
26795/RD/2016,29.03.2016,,09.09.2016
26853/RD/2016,29.03.2016,,09.09.2016
26865/RD/2016,29.03.2016,,10.04.2018
26871/RD/2016,29.03.2016,,09.09.2016
26882/RD/2016,29.03.2016,,09.09.2016
26886/RD/2016,29.03.2016,,09.09.2016
26893/RD/2016,29.03.2016,,09.09.2016
26906/RD/2016,29.03.2016,,09.09.2016
26966/RD/2016,30.03.2016,,09.09.2016
26982/RD/2016,30.03.2016,,09.09.2016
26993/RD/2016,30.03.2016,,09.09.2016
27150/RD/2016,30.03.2016,,09.09.2016
27158/RD/2016,30.03.2016,,09.09.2016
27172/RD/2016,30.03.2016,,04.11.2016
27232/RD/2016,30.03.2016,,10.05.2018
27242/RD/2016,30.03.2016,,10.05.2018
27286/RD/2016,30.03.2016,,22.03.2019
27908/RD/2016,31.03.2016,,25.11.2016
27914/RD/2016,31.03.2016,,25.11.2016
28192/RD/2016,01.04.2016,,25.05.2017
28198/RD/2016,01.04.2016,,09.09.2016
28200/RD/2016,01.04.2016,,25.11.2016
28206/RD/2016,01.04.2016,,09.09.2016
28214/RD/2016,01.04.2016,,25.11.2016
28216/RD/2016,01.04.2016,,09.09.2016
28224/RD/2016,01.04.2016,,08.12.2016
28229/RD/2016,01.04.2016,,12.09.2017
28236/RD/2016,01.04.2016,,11.10.2016
28300/RD/2016,01.04.2016,,29.07.2016
28333/RD/2016,01.04.2016,,29.07.2016
28341/RD/2016,01.04.2016,,29.07.2016
28387/RD/2016,01.04.2016,,29.07.2016
28391/RD/2016,01.04.2016,,29.07.2016
28395/RD/2016,01.04.2016,,29.07.2016
28846/RD/2016,04.04.2016,,29.07.2016
28992/RD/2016,05.04.2016,,29.07.2016
29763/RD/2016,06.04.2016,,11.10.2016
29768/RD/2016,06.04.2016,,11.10.2016
30502/RD/2016,08.04.2016,,07.04.2017
30559/RD/2016,08.04.2016,,14.11.2019
30569/RD/2016,08.04.2016,,11.10.2016
30577/RD/2016,08.04.2016,,11.10.2016
30588/RD/2016,08.04.2016,,11.10.2016
30607/RD/2016,08.04.2016,,11.10.2016
31080/RD/2016,11.04.2016,,11.10.2016
31142/RD/2016,11.04.2016,,07.02.2018
31447/RD/2016,12.04.2016,,07.04.2017
31459/RD/2016,12.04.2016,,29.09.2017
31468/RD/2016,12.04.2016,,29.09.2017
31476/RD/2016,12.04.2016,,29.09.2017
31481/RD/2016,12.04.2016,,30.09.2016
31484/RD/2016,12.04.2016,,30.09.2016
31491/RD/2016,12.04.2016,,30.09.2016
31494/RD/2016,12.04.2016,,30.09.2016
31498/RD/2016,12.04.2016,,30.09.2016
31500/RD/2016,12.04.2016,,30.09.2016
31517/RD/2016,12.04.2016,14.09.2016,
31541/RD/2016,12.04.2016,,30.09.2016
31549/RD/2016,12.04.2016,,08.12.2016
31552/RD/2016,12.04.2016,,08.12.2016
31553/RD/2016,12.04.2016,,08.12.2016
31554/RD/2016,12.04.2016,,28.03.2019
31556/RD/2016,12.04.2016,,08.12.2016
31557/RD/2016,12.04.2016,,04.05.2017
31559/RD/2016,12.04.2016,,30.09.2016
31841/RD/2016,13.04.2016,,08.12.2016
31846/RD/2016,13.04.2016,,08.12.2016
31854/RD/2016,13.04.2016,,08.12.2016
31857/RD/2016,13.04.2016,,08.12.2016
31938/RD/2016,13.04.2016,,30.09.2016
31948/RD/2016,13.04.2016,,30.09.2016
31959/RD/2016,13.04.2016,,17.03.2017
32567/RD/2016,14.04.2016,,30.09.2016
32577/RD/2016,14.04.2016,,30.09.2016
32584/RD/2016,14.04.2016,,30.09.2016
32949/RD/2016,15.04.2016,,30.09.2016
32957/RD/2016,15.04.2016,,30.09.2016
32984/RD/2016,15.04.2016,,30.09.2016
32987/RD/2016,15.04.2016,,30.09.2016
32996/RD/2016,15.04.2016,,22.02.2017
33333/RD/2016,18.04.2016,,04.11.2016
33553/RD/2016,18.04.2016,,04.11.2016
34038/RD/2016,19.04.2016,,04.11.2016
34047/RD/2016,19.04.2016,,04.11.2016
34066/RD/2016,19.04.2016,,04.11.2016
